,order_id,product_id,unit_price,quantity,discount
0,10248,11,,12,0.0
1,10248,42,9.8,10,0.0
2,10248,72,,5,0.0
3,10249,14,18.6,9,0.0
4,10249,51,,40,0.0
5,10250,41,7.7,10,0.0
6,10250,51,,35,
7,10250,65,16.8,15,
8,10251,22,16.8,6,
9,10251,57,15.6,15,
10,10251,65,16.8,20,0.0
11,10252,20,,40,
12,10252,33,,25,
13,10252,60,27.2,40,0.0
14,10253,31,,20,0.0
15,10253,39,14.4,42,0.0
16,10253,49,,40,0.0
17,10254,24,3.6,15,
18,10254,55,19.2,21,
19,10254,74,,21,0.0
20,10255,2,15.2,20,0.0
21,10255,16,13.9,35,0.0
22,10255,36,15.2,25,0.0
23,10255,59,,30,0.0
24,10256,53,26.2,15,0.0
25,10256,77,10.4,12,0.0
26,10257,27,,25,0.0
27,10257,39,14.4,6,0.0
28,10257,77,10.4,15,0.0
29,10258,2,15.2,50,
30,10258,5,,65,
31,10258,32,25.6,6,
32,10259,21,,10,0.0
33,10259,37,20.8,1,0.0
34,10260,41,7.7,16,
35,10260,57,15.6,50,0.0
36,10260,62,,15,
37,10260,70,,21,
38,10261,21,,20,0.0
39,10261,35,14.4,20,0.0
40,10262,5,,12,
41,10262,7,,15,0.0
42,10262,56,30.4,2,0.0
43,10263,16,13.9,60,
44,10263,24,3.6,28,0.0
45,10263,30,20.7,60,
46,10263,74,,36,
47,10264,2,15.2,35,0.0
48,10264,41,7.7,25,
49,10265,17,,30,0.0
50,10265,70,,20,0.0
51,10266,12,30.4,12,
52,10267,40,14.7,50,0.0
53,10267,59,,70,
54,10267,76,14.4,15,
55,10268,29,,10,0.0
56,10268,72,27.8,4,0.0
57,10269,33,,60,
58,10269,72,27.8,20,
59,10270,36,15.2,30,0.0
60,10270,43,,25,0.0
61,10271,33,,24,0.0
62,10272,20,,6,0.0
63,10272,31,,40,0.0
64,10272,72,27.8,24,0.0
65,10273,10,24.8,24,
66,10273,31,,15,
67,10273,33,,20,0.0
68,10273,40,14.7,60,
69,10273,76,14.4,33,
70,10274,71,17.2,20,0.0
71,10274,72,27.8,7,0.0
72,10275,24,3.6,12,
73,10275,59,,6,
74,10276,10,24.8,15,0.0
75,10276,13,4.8,10,0.0
76,10277,28,,20,0.0
77,10277,62,,12,0.0
78,10278,44,15.5,16,0.0
79,10278,59,,15,0.0
80,10278,63,,8,0.0
81,10278,73,,25,0.0
82,10279,17,,15,
